сфера,Суть ачивки,Баллы за ачивку,Название группы (достижения),Монетки за ачивку
,,,,
Каратэ (спорт),,,,
,Заработать 10 000 руб Вконтакте,,Гуру продаж ВКонтакте,0
,Заработать 30 000 руб Вконтакте,,,0
,Заработать 50 000 руб Вконтакте,,,0
,Заработать 10 000 руб. в Инстаграмм,,Гуру Инстаграма,0
,Заработать 30 000 руб. в Инстаграмм,,,0
,Заработать 50 000 руб. в Инстаграмм,,,0
Стиль жизни,,,,
,Сходить в музей (выложить об этом пост в соц.сети),,Экскурсовод,0
,Сходить в музей с волками (выложить об этом пост в соц.сети),,,0
,Посмотреть спектакль в театре (выложить об этом пост в соц.сети),,Отчаянный театрал,0
,Посмотреть спектакль в театре с волками (выложить об этом пост в соц.сети),,,0
,Сходить на выставку (выложить об этом пост в соц.сети),,Духовное развитие,0
,Сходить на выставку с волками (выложить об этом пост в соц.сети),,,0
,Сходить на концерт (выложить об этом пост в соц.сети),,Музыкальный эстет,0
,Сходить на концерт с волками (выложить об этом пост в соц.сети),,,0
,Посмотреть фильм в кинотеатре (выложить об этом пост в соц.сети),,Киноман,0
,Посмотреть фильм с волками в кинотеатре (выложить об этом пост в соц.сети),,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Другое,,,,
,Купить бумагу в штаб,,Печатник,0
,Купить картридж в штаб,,,0
,Купить чай в штаб,,Чаевник,0
,Купить сахар в штаб,,,0
,Купить стаканчики в штаб,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Коллектив,,,,
,,,Держатель,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Система роста,,,,
,,,Курсант,0
,,,,0
,,,,0
,,,,0
,,,Вице-штурман,0
,,,,0
,,,,0
,,,,0
,,,Штурман,0
,,,,0
,,,,0
,,,,0
,,,Вице-капитан,0
,,,,0
,,,,0
,,,,0
,,,Капитан,0
,,,,0
,,,,0
,,,,0
,,,Флаг-капитан,0
,,,,0
,,,,0
,,,,0
